minCarat,maxCarat,color,clarity,factor
1.5,1.99,K,VVS2,51
1.5,1.99,L,VVS2,43
1.5,1.99,M,VVS2,39
1.5,1.99,D,VS1,134
1.5,1.99,E,VS1,122
1.5,1.99,F,VS1,114
1.5,1.99,G,VS1,99
1.5,1.99,H,VS1,81
1.5,1.99,I,VS1,68
1.5,1.99,J,VS1,57
1.5,1.99,K,VS1,47
1.5,1.99,L,VS1,40
1.5,1.99,M,VS1,36
1.5,1.99,D,VS2,120
1.5,1.99,E,VS2,110
1.5,1.99,F,VS2,103
1.5,1.99,G,VS2,89
1.5,1.99,H,VS2,74
1.5,1.99,I,VS2,63
1.5,1.99,J,VS2,53
1.5,1.99,K,VS2,44
1.5,1.99,L,VS2,38
1.5,1.99,M,VS2,34
1.5,1.99,D,SI1,93
1.5,1.99,E,SI1,86
1.5,1.99,F,SI1,81
1.5,1.99,G,SI1,75
1.5,1.99,H,SI1,66
1.5,1.99,I,SI1,56
1.5,1.99,J,SI1,48
1.5,1.99,K,SI1,40
1.5,1.99,L,SI1,35
1.5,1.99,M,SI1,32
1.5,1.99,D,SI2,75
1.5,1.99,E,SI2,68
1.5,1.99,F,SI2,64
1.5,1.99,G,SI2,60
1.5,1.99,H,SI2,55
1.5,1.99,I,SI2,51
1.5,1.99,J,SI2,43
1.5,1.99,K,SI2,37
1.5,1.99,L,SI2,33
1.5,1.99,M,SI2,30
1.5,1.99,D,SI3,66
1.5,1.99,E,SI3,60
1.5,1.99,F,SI3,57
1.5,1.99,G,SI3,54
1.5,1.99,H,SI3,50
1.5,1.99,I,SI3,46
1.5,1.99,J,SI3,39
1.5,1.99,K,SI3,34
1.5,1.99,L,SI3,31
1.5,1.99,M,SI3,28
1.5,1.99,D,I1,55
1.5,1.99,E,I1,52
1.5,1.99,F,I1,49
1.5,1.99,G,I1,46
1.5,1.99,H,I1,42
1.5,1.99,I,I1,39
1.5,1.99,J,I1,35
1.5,1.99,K,I1,31
1.5,1.99,L,I1,29
1.5,1.99,M,I1,27
1.5,1.99,D,I2,35
1.5,1.99,E,I2,33
1.5,1.99,F,I2,32
1.5,1.99,G,I2,30
1.5,1.99,H,I2,29
1.5,1.99,I,I2,27
1.5,1.99,J,I2,26
1.5,1.99,K,I2,24
1.5,1.99,L,I2,23
1.5,1.99,M,I2,22
1.5,1.99,D,I3,18
1.5,1.99,E,I3,17
1.5,1.99,F,I3,16
1.5,1.99,G,I3,15
1.5,1.99,H,I3,15
1.5,1.99,I,I3,14
1.5,1.99,J,I3,14
1.5,1.99,K,I3,13
1.5,1.99,L,I3,12
1.5,1.99,M,I3,12
2,2.99,D,IF,330
2,2.99,E,IF,270
2,2.99,F,IF,245
2,2.99,G,IF,205
2,2.99,H,IF,165
2,2.99,I,IF,135
2,2.99,J,IF,109
2,2.99,K,IF,91
2,2.99,L,IF,78
2,2.99,M,IF,68
2,2.99,D,VVS1,275
2,2.99,E,VVS1,245
2,2.99,F,VVS1,220
2,2.99,G,VVS1,185
2,2.99,H,VVS1,150
2,2.99,I,VVS1,120
2,2.99,J,VVS1,99
2,2.99,K,VVS1,83
2,2.99,L,VVS1,71
2,2.99,M,VVS1,63
2,2.99,D,VVS2,235
2,2.99,E,VVS2,210
2,2.99,F,VVS2,195
2,2.99,G,VVS2,165
2,2.99,H,VVS2,135
2,2.99,I,VVS2,110
2,2.99,J,VVS2,91
2,2.99,K,VVS2,76
2,2.99,L,VVS2,66
2,2.99,M,VVS2,57
2,2.99,D,VS1,205
2,2.99,E,VS1,190
2,2.99,F,VS1,175
2,2.99,G,VS1,150
2,2.99,H,VS1,125
2,2.99,I,VS1,100
2,2.99,J,VS1,84
2,2.99,K,VS1,70
2,2.99,L,VS1,61
2,2.99,M,VS1,54
2,2.99,D,VS2,175
2,2.99,E,VS2,160
2,2.99,F,VS2,150
2,2.99,G,VS2,135
2,2.99,H,VS2,115
2,2.99,I,VS2,93
2,2.99,J,VS2,76
2,2.99,K,VS2,63
2,2.99,L,VS2,54
2,2.99,M,VS2,48
2,2.99,D,SI1,141
2,2.99,E,SI1,132
2,2.99,F,SI1,123
2,2.99,G,SI1,112
2,2.99,H,SI1,104
2,2.99,I,SI1,86
2,2.99,J,SI1,69
2,2.99,K,SI1,57
2,2.99,L,SI1,50
2,2.99,M,SI1,45
2,2.99,D,SI2,113
2,2.99,E,SI2,105
2,2.99,F,SI2,98
2,2.99,G,SI2,92
2,2.99,H,SI2,86
2,2.99,I,SI2,78
2,2.99,J,SI2,63
2,2.99,K,SI2,53
2,2.99,L,SI2,46
2,2.99,M,SI2,42
2,2.99,D,SI3,95
2,2.99,E,SI3,88
2,2.99,F,SI3,83
2,2.99,G,SI3,77
2,2.99,H,SI3,71
2,2.99,I,SI3,66
2,2.99,J,SI3,57
2,2.99,K,SI3,50
2,2.99,L,SI3,43
2,2.99,M,SI3,40
2,2.99,D,I1,80
2,2.99,E,I1,76
2,2.99,F,I1,72
2,2.99,G,I1,68
2,2.99,H,I1,65
2,2.99,I,I1,61
2,2.99,J,I1,54
2,2.99,K,I1,47
2,2.99,L,I1,40
2,2.99,M,I1,38
2,2.99,D,I2,41
2,2.99,E,I2,39
2,2.99,F,I2,37
2,2.99,G,I2,35
2,2.99,H,I2,33
2,2.99,I,I2,31
2,2.99,J,I2,29
2,2.99,K,I2,28
2,2.99,L,I2,27
2,2.99,M,I2,26
2,2.99,D,I3,19
2,2.99,E,I3,18
2,2.99,F,I3,17
2,2.99,G,I3,16
2,2.99,H,I3,15
2,2.99,I,I3,15
2,2.99,J,I3,14
2,2.99,K,I3,14
2,2.99,L,I3,13
2,2.99,M,I3,13
3,3.99,D,IF,550
3,3.99,E,IF,450
3,3.99,F,IF,405
3,3.99,G,IF,335
3,3.99,H,IF,270
3,3.99,I,IF,220
3,3.99,J,IF,175
3,3.99,K,IF,145
3,3.99,L,IF,117
3,3.99,M,IF,95
3,3.99,D,VVS1,460
3,3.99,E,VVS1,420
3,3.99,F,VVS1,375
3,3.99,G,VVS1,315
3,3.99,H,VVS1,250
3,3.99,I,VVS1,205
3,3.99,J,VVS1,165
3,3.99,K,VVS1,135
3,3.99,L,VVS1,111
3,3.99,M,VVS1,91
3,3.99,D,VVS2,410
3,3.99,E,VVS2,370
3,3.99,F,VVS2,335
3,3.99,G,VVS2,280
3,3.99,H,VVS2,225
3,3.99,I,VVS2,190
3,3.99,J,VVS2,150
3,3.99,K,VVS2,125
3,3.99,L,VVS2,107
3,3.99,M,VVS2,87
3,3.99,D,VS1,350
3,3.99,E,VS1,320
3,3.99,F,VS1,295
3,3.99,G,VS1,245
3,3.99,H,VS1,205
3,3.99,I,VS1,175
3,3.99,J,VS1,140
3,3.99,K,VS1,120
3,3.99,L,VS1,103
3,3.99,M,VS1,83
3,3.99,D,VS2,295
3,3.99,E,VS2,265
3,3.99,F,VS2,245
3,3.99,G,VS2,210
3,3.99,H,VS2,185
3,3.99,I,VS2,160
3,3.99,J,VS2,130
3,3.99,K,VS2,110
3,3.99,L,VS2,95
3,3.99,M,VS2,79
3,3.99,D,SI1,235
3,3.99,E,SI1,210
3,3.99,F,SI1,195
3,3.99,G,SI1,180
3,3.99,H,SI1,160
3,3.99,I,SI1,140
3,3.99,J,SI1,120
3,3.99,K,SI1,103
3,3.99,L,SI1,90
3,3.99,M,SI1,75
3,3.99,D,SI2,200
3,3.99,E,SI2,185
3,3.99,F,SI2,170
3,3.99,G,SI2,155
3,3.99,H,SI2,135
3,3.99,I,SI2,120
3,3.99,J,SI2,110
3,3.99,K,SI2,97
3,3.99,L,SI2,82
3,3.99,M,SI2,67
3,3.99,D,SI3,139
3,3.99,E,SI3,131
3,3.99,F,SI3,124
3,3.99,G,SI3,112
3,3.99,H,SI3,101
3,3.99,I,SI3,92
3,3.99,J,SI3,84
3,3.99,K,SI3,76
3,3.99,L,SI3,65
3,3.99,M,SI3,58
3,3.99,D,I1,103
3,3.99,E,I1,98
3,3.99,F,I1,93
3,3.99,G,I1,87
3,3.99,H,I1,82
3,3.99,I,I1,77
3,3.99,J,I1,71
3,3.99,K,I1,62
3,3.99,L,I1,55
3,3.99,M,I1,47
3,3.99,D,I2,49
3,3.99,E,I2,47
3,3.99,F,I2,45
3,3.99,G,I2,43
3,3.99,H,I2,41
3,3.99,I,I2,38
3,3.99,J,I2,35
3,3.99,K,I2,33
3,3.99,L,I2,31
3,3.99,M,I2,30
3,3.99,D,I3,21
3,3.99,E,I3,20
3,3.99,F,I3,19
3,3.99,G,I3,18
3,3.99,H,I3,17
3,3.99,I,I3,16
3,3.99,J,I3,15
3,3.99,K,I3,15
3,3.99,L,I3,14
3,3.99,M,I3,14
4,4.99,D,IF,745
4,4.99,E,IF,625
4,4.99,F,IF,565
4,4.99,G,IF,465
4,4.99,H,IF,360
4,4.99,I,IF,280
4,4.99,J,IF,225
4,4.99,K,IF,185
4,4.99,L,IF,150
4,4.99,M,IF,125
4,4.99,D,VVS1,645
4,4.99,E,VVS1,585
4,4.99,F,VVS1,520
4,4.99,G,VVS1,430
4,4.99,H,VVS1,335
4,4.99,I,VVS1,260
4,4.99,J,VVS1,210
4,4.99,K,VVS1,175
4,4.99,L,VVS1,140
4,4.99,M,VVS1,115
4,4.99,D,VVS2,585
4,4.99,E,VVS2,525
4,4.99,F,VVS2,475
4,4.99,G,VVS2,395
4,4.99,H,VVS2,315
4,4.99,I,VVS2,245
4,4.99,J,VVS2,195
4,4.99,K,VVS2,160
4,4.99,L,VVS2,130
4,4.99,M,VVS2,105
4,4.99,D,VS1,495
4,4.99,E,VS1,450
4,4.99,F,VS1,410
4,4.99,G,VS1,360
4,4.99,H,VS1,295
4,4.99,I,VS1,230
4,4.99,J,VS1,185
4,4.99,K,VS1,150
4,4.99,L,VS1,120
4,4.99,M,VS1,100
4,4.99,D,VS2,415
4,4.99,E,VS2,390
4,4.99,F,VS2,355
4,4.99,G,VS2,315
4,4.99,H,VS2,260
4,4.99,I,VS2,210
4,4.99,J,VS2,170
4,4.99,K,VS2,140
4,4.99,L,VS2,115
4,4.99,M,VS2,95
4,4.99,D,SI1,315
4,4.99,E,SI1,295
4,4.99,F,SI1,275
4,4.99,G,SI1,245
4,4.99,H,SI1,215
4,4.99,I,SI1,190
4,4.99,J,SI1,155
4,4.99,K,SI1,130
4,4.99,L,SI1,105
4,4.99,M,SI1,90
4,4.99,D,SI2,255
4,4.99,E,SI2,240
4,4.99,F,SI2,225
4,4.99,G,SI2,200
4,4.99,H,SI2,180
4,4.99,I,SI2,160
4,4.99,J,SI2,140
4,4.99,K,SI2,120
4,4.99,L,SI2,100
4,4.99,M,SI2,80
4,4.99,D,SI3,155
4,4.99,E,SI3,145
4,4.99,F,SI3,138
4,4.99,G,SI3,127
4,4.99,H,SI3,114
4,4.99,I,SI3,105
4,4.99,J,SI3,95
4,4.99,K,SI3,83
4,4.99,L,SI3,73
4,4.99,M,SI3,65
4,4.99,D,I1,111
4,4.99,E,I1,106
4,4.99,F,I1,101
4,4.99,G,I1,95
4,4.99,H,I1,90
4,4.99,I,I1,86
4,4.99,J,I1,75
4,4.99,K,I1,66
4,4.99,L,I1,59
4,4.99,M,I1,50
4,4.99,D,I2,54
4,4.99,E,I2,52
4,4.99,F,I2,50
4,4.99,G,I2,47
4,4.99,H,I2,44
4,4.99,I,I2,41
4,4.99,J,I2,39
4,4.99,K,I2,36
4,4.99,L,I2,34
4,4.99,M,I2,32
4,4.99,D,I3,23
4,4.99,E,I3,22
4,4.99,F,I3,21
4,4.99,G,I3,20
4,4.99,H,I3,19
4,4.99,I,I3,18
4,4.99,J,I3,17
4,4.99,K,I3,17
4,4.99,L,I3,16
4,4.99,M,I3,16
5,5.99,D,IF,1000
5,5.99,E,IF,835
5,5.99,F,IF,730
5,5.99,G,IF,605
5,5.99,H,IF,480
5,5.99,I,IF,365
5,5.99,J,IF,280
5,5.99,K,IF,220
5,5.99,L,IF,180
5,5.99,M,IF,150
5,5.99,D,VVS1,855
5,5.99,E,VVS1,750
5,5.99,F,VVS1,670
5,5.99,G,VVS1,555
5,5.99,H,VVS1,445
5,5.99,I,VVS1,345
5,5.99,J,VVS1,260
5,5.99,K,VVS1,210
5,5.99,L,VVS1,165
5,5.99,M,VVS1,140
5,5.99,D,VVS2,770
5,5.99,E,VVS2,670
5,5.99,F,VVS2,595
5,5.99,G,VVS2,505
5,5.99,H,VVS2,400
5,5.99,I,VVS2,315
5,5.99,J,VVS2,240
5,5.99,K,VVS2,195
5,5.99,L,VVS2,155
5,5.99,M,VVS2,130
5,5.99,D,VS1,690
5,5.99,E,VS1,595
5,5.99,F,VS1,540
5,5.99,G,VS1,460
5,5.99,H,VS1,360
5,5.99,I,VS1,290
5,5.99,J,VS1,220
5,5.99,K,VS1,180
5,5.99,L,VS1,150
5,5.99,M,VS1,125
5,5.99,D,VS2,580
5,5.99,E,VS2,520
5,5.99,F,VS2,465
5,5.99,G,VS2,395
5,5.99,H,VS2,325
5,5.99,I,VS2,255
5,5.99,J,VS2,205
5,5.99,K,VS2,170
5,5.99,L,VS2,140
5,5.99,M,VS2,120
5,5.99,D,SI1,430
5,5.99,E,SI1,395
5,5.99,F,SI1,360
5,5.99,G,SI1,320
5,5.99,H,SI1,265
5,5.99,I,SI1,225
5,5.99,J,SI1,195
5,5.99,K,SI1,165
5,5.99,L,SI1,135
5,5.99,M,SI1,110
5,5.99,D,SI2,315
5,5.99,E,SI2,295
5,5.99,F,SI2,280
5,5.99,G,SI2,260
5,5.99,H,SI2,225
5,5.99,I,SI2,195
5,5.99,J,SI2,170
5,5.99,K,SI2,150
5,5.99,L,SI2,125
5,5.99,M,SI2,100
5,5.99,D,SI3,175
5,5.99,E,SI3,170
5,5.99,F,SI3,160
5,5.99,G,SI3,150
5,5.99,H,SI3,140
5,5.99,I,SI3,130
5,5.99,J,SI3,120
5,5.99,K,SI3,110
5,5.99,L,SI3,100
5,5.99,M,SI3,80
5,5.99,D,I1,125
5,5.99,E,I1,120
5,5.99,F,I1,115
5,5.99,G,I1,110
5,5.99,H,I1,100
5,5.99,I,I1,95
5,5.99,J,I1,88
5,5.99,K,I1,81
5,5.99,L,I1,69
5,5.99,M,I1,60
5,5.99,D,I2,60
5,5.99,E,I2,57
5,5.99,F,I2,54
5,5.99,G,I2,51
5,5.99,H,I2,48
5,5.99,I,I2,46
5,5.99,J,I2,43
5,5.99,K,I2,41
5,5.99,L,I2,37
5,5.99,M,I2,34
5,5.99,D,I3,25
5,5.99,E,I3,23
5,5.99,F,I3,22
5,5.99,G,I3,21
5,5.99,H,I3,21
5,5.99,I,I3,20
5,5.99,J,I3,19
5,5.99,K,I3,18
5,5.99,L,I3,17
5,5.99,M,I3,16
10,10.99,D,IF,1400
10,10.99,E,IF,1270
10,10.99,F,IF,1110
10,10.99,G,IF,930
10,10.99,H,IF,750
10,10.99,I,IF,570
10,10.99,J,IF,440
10,10.99,K,IF,345
10,10.99,L,IF,270
10,10.99,M,IF,225
10,10.99,D,VVS1,1300
10,10.99,E,VVS1,1160
10,10.99,F,VVS1,1040
10,10.99,G,VVS1,865
10,10.99,H,VVS1,695
10,10.99,I,VVS1,535
10,10.99,J,VVS1,405
10,10.99,K,VVS1,325
10,10.99,L,VVS1,255
10,10.99,M,VVS1,210
10,10.99,D,VVS2,1200
10,10.99,E,VVS2,1030
10,10.99,F,VVS2,930
10,10.99,G,VVS2,785
10,10.99,H,VVS2,630
10,10.99,I,VVS2,495
10,10.99,J,VVS2,375
10,10.99,K,VVS2,300
10,10.99,L,VVS2,240
10,10.99,M,VVS2,195
10,10.99,D,VS1,1070
10,10.99,E,VS1,930
10,10.99,F,VS1,835
10,10.99,G,VS1,715
10,10.99,H,VS1,565
10,10.99,I,VS1,460
10,10.99,J,VS1,350
10,10.99,K,VS1,275
10,10.99,L,VS1,225
10,10.99,M,VS1,185
10,10.99,D,VS2,900
10,10.99,E,VS2,820
10,10.99,F,VS2,715
10,10.99,G,VS2,610
10,10.99,H,VS2,500
10,10.99,I,VS2,405
10,10.99,J,VS2,325
10,10.99,K,VS2,255
10,10.99,L,VS2,210
10,10.99,M,VS2,175
10,10.99,D,SI1,635
10,10.99,E,SI1,585
10,10.99,F,SI1,535
10,10.99,G,SI1,485
10,10.99,H,SI1,405
10,10.99,I,SI1,340
10,10.99,J,SI1,285
10,10.99,K,SI1,235
10,10.99,L,SI1,195
10,10.99,M,SI1,165
10,10.99,D,SI2,465
10,10.99,E,SI2,430
10,10.99,F,SI2,400
10,10.99,G,SI2,370
10,10.99,H,SI2,325
10,10.99,I,SI2,275
10,10.99,J,SI2,235
10,10.99,K,SI2,200
10,10.99,L,SI2,165
10,10.99,M,SI2,140
10,10.99,D,SI3,250
10,10.99,E,SI3,235
10,10.99,F,SI3,220
10,10.99,G,SI3,205
10,10.99,H,SI3,185
10,10.99,I,SI3,170
10,10.99,J,SI3,150
10,10.99,K,SI3,135
10,10.99,L,SI3,120
10,10.99,M,SI3,105
10,10.99,D,I1,140
10,10.99,E,I1,135
10,10.99,F,I1,130
10,10.99,G,I1,125
10,10.99,H,I1,120
10,10.99,I,I1,115
10,10.99,J,I1,110
10,10.99,K,I1,100
10,10.99,L,I1,85
10,10.99,M,I1,75
10,10.99,D,I2,66
10,10.99,E,I2,63
10,10.99,F,I2,60
10,10.99,G,I2,57
10,10.99,H,I2,55
10,10.99,I,I2,52
10,10.99,J,I2,49
10,10.99,K,I2,47
10,10.99,L,I2,45
10,10.99,M,I2,43
10,10.99,D,I3,27
10,10.99,E,I3,26
10,10.99,F,I3,25
10,10.99,G,I3,24
10,10.99,H,I3,23
10,10.99,I,I3,22
10,10.99,J,I3,21
10,10.99,K,I3,20
10,10.99,L,I3,19
10,10.99,M,I3,18
